match_id,batter,runs,impact,balls,avg_pressure
335989,PA Patel,14,14.0,11,0.0
335989,RV Uthappa,43,55.9,36,1.0
335989,S Badrinath,2,3.2,1,2.0
335989,SK Raina,53,53.0,37,0.0
335989,SM Pollock,17,22.1,15,1.0
335989,ST Jayasuriya,20,26.0,11,1.0
335990,A Symonds,117,126.0,53,0.22807017543859648
335990,AC Gilchrist,13,13.0,9,0.0
335990,AS Yadav,16,20.8,9,1.1
335990,D Salunkhe,1,2.0,1,3.0
335990,GC Smith,71,98.30000000000001,45,1.2391304347826086
335990,Kamran Akmal,12,15.600000000000001,9,1.0
335990,M Kaif,34,46.300000000000004,16,1.3125
335990,Pankaj Singh,4,8.0,3,3.0
335990,RA Jadeja,1,2.0,3,3.0
335990,RG Sharma,36,41.1,30,0.3333333333333333
335990,SK Warne,22,41.6,9,2.888888888888889
335990,SR Watson,4,5.2,6,1.0
335990,Shahid Afridi,10,10.0,4,0.0
335990,VVS Laxman,16,16.0,16,0.0
335990,YK Pathan,61,79.30000000000001,28,1.0
335991,A Nehra,2,4.0,10,3.0
335991,AM Nayar,2,3.2,3,2.0
335991,B Lee,16,25.6,8,2.0
335991,DJ Bravo,23,29.900000000000002,21,1.0
335991,DPMD Jayawardene,12,13.2,7,0.7142857142857143
335991,DS Kulkarni,2,4.0,16,3.0
335991,Harbhajan Singh,0,0.0,1,2.0
335991,IK Pathan,6,6.0,3,0.0
335991,K Goel,18,18.0,21,0.0
335991,KC Sangakkara,94,100.6,56,0.27586206896551724
335991,L Ronchi,11,14.3,8,1.0
335991,MA Khote,8,14.8,7,2.4285714285714284
335991,PP Chawla,0,0.0,1,2.0
335991,RR Sarwan,7,7.0,9,0.0
335991,RV Uthappa,21,27.3,18,1.0
335991,S Sohal,0,0.0,4,2.0
335991,S Sreesanth,0,0.0,1,2.0
335991,SM Pollock,22,32.9,21,1.5714285714285714
335991,SS Tiwary,17,22.1,10,1.1
335991,ST Jayasuriya,1,1.3,7,1.0
335991,VRV Singh,4,6.4,2,2.0
335991,Yuvraj Singh,18,18.0,9,0.0
335992,GC Smith,49,51.4,42,0.09523809523809523
335992,JH Kallis,11,11.0,10,0.0
335992,LRPL Taylor,44,44.0,20,0.0
335992,M Kaif,4,5.2,6,1.0
335992,M Rawat,0,0.0,2,0.0
335992,MV Boucher,4,4.3,10,0.6
335992,P Kumar,34,50.2,30,1.4666666666666666
335992,R Dravid,0,0.0,1,0.0
335992,R Vinay Kumar,1,1.6,1,2.0
335992,S Chanderpaul,2,2.0,9,0.0
335992,SB Joshi,3,3.9000000000000004,8,1.0
335992,SR Watson,61,62.5,41,0.06976744186046512
335992,V Kohli,13,13.0,14,0.0625
335992,YK Pathan,21,21.0,12,0.0
335992,Z Khan,17,27.200000000000003,18,1.8888888888888888
335993,AB Agarkar,11,15.8,9,1.7777777777777777
335993,BB McCullum,24,24.0,12,0.0
335993,DJ Hussey,0,0.0,2,0.0
335993,I Sharma,4,6.4,3,2.0
335993,LR Shukla,42,62.7,33,1.5714285714285714
335993,M Kartik,3,4.800000000000001,3,2.0
335993,ML Hayden,70,75.4,49,0.2
335993,MS Dhoni,43,45.4,27,0.1111111111111111
335993,Mohammad Hafeez,16,19.6,24,0.6666666666666666
335993,PA Patel,21,21.0,27,0.0
335993,RT Ponting,0,0.0,1,0.0
335993,SC Ganguly,12,12.0,19,0.047619047619047616
335993,WP Saha,27,27.0,16,0.0
335994,AC Gilchrist,109,109.0,47,0.0
335994,AM Nayar,34,48.10000000000001,19,0.95
335994,AM Rahane,0,0.0,7,0.0
335994,DJ Bravo,34,51.7,18,1.7777777777777777
335994,L Ronchi,13,13.0,11,0.0
335994,MA Khote,7,11.200000000000001,10,2.0
335994,RV Uthappa,6,6.0,5,0.0
335994,SM Pollock,31,31.0,31,0.03225806451612903
335994,ST Jayasuriya,18,18.0,21,0.0
335994,VVS Laxman,37,37.0,26,0.0
335995,B Lee,1,1.6,3,2.0
335995,DPMD Jayawardene,15,15.0,14,0.0
335995,G Gambhir,18,18.0,14,0.0
335995,IK Pathan,10,16.0,7,2.0
335995,K Goel,1,1.0,3,0.0
335995,KC Sangakkara,4,4.0,2,0.0
335995,KD Karthik,24,24.0,14,0.07142857142857142
335995,MF Maharoof,18,28.8,12,2.0
335995,MK Tiwary,39,49.800000000000004,34,0.7222222222222222
335995,R Bhatia,17,26.000000000000004,15,1.4
335995,S Dhawan,0,0.0,3,0.0
335995,SM Katich,75,75.0,52,0.0
335995,Shoaib Malik,19,19.0,17,0.0
335995,TM Srivastava,7,8.5,9,0.6666666666666666
335995,V Sehwag,6,6.0,6,0.0
335995,VY Mahesh,6,9.600000000000001,5,2.0
335995,Yuvraj Singh,40,48.7,29,0.7241379310344828
335996,B Akhil,2,4.0,3,3.0
335996,B Chipli,8,10.1,11,0.9166666666666666
335996,DW Steyn,1,2.0,2,3.0
335996,JH Kallis,14,14.0,10,0.0
335996,LRPL Taylor,53,64.10000000000001,34,0.6388888888888888
335996,MEK Hussey,47,54.2,37,0.3783783783783784
335996,ML Hayden,13,13.0,19,0.0
335996,MS Dhoni,65,80.3,30,0.5806451612903226
335996,MV Boucher,4,6.1000000000000005,6,1.6666666666666667
335996,P Kumar,6,12.0,5,3.0
335996,PA Patel,21,21.0,17,0.0
335996,R Dravid,0,0.0,1,3.0
335996,SK Raina,28,28.0,17,0.0
335996,V Kohli,12,21.200000000000003,7,2.4285714285714284
335996,W Jaffer,50,58.7,33,0.7777777777777778
335996,Z Khan,8,16.0,6,3.0
335997,AB Agarkar,2,2.9000000000000004,6,1.4285714285714286
335997,AM Rahane,4,4.0,10,0.0
335997,BB McCullum,1,1.0,2,0.0
335997,DB Das,29,29.0,20,0.0
335997,DJ Bravo,64,70.0,53,0.2830188679245283
335997,DJ Hussey,17,17.0,20,0.0
335997,LR Shukla,40,61.300000000000004,22,1.7916666666666667
335997,M Kartik,10,16.0,11,2.0
335997,MK Pandey,0,0.0,3,0.0
335997,Mohammad Hafeez,2,2.0,6,0.5
335997,RT Ponting,19,19.0,31,0.0
335997,RV Uthappa,37,39.1,37,0.20512820512820512
335997,SC Ganguly,4,4.0,2,0.0
335997,ST Jayasuriya,18,18.0,10,0.0
335998,G Gambhir,86,89.6,54,0.18518518518518517
335998,JH Kallis,54,74.4,44,1.2727272727272727
335998,KD Karthik,2,2.6,4,1.0
335998,LRPL Taylor,29,37.7,15,1.0
335998,MK Tiwary,11,15.5,9,1.5555555555555556
335998,MV Boucher,31,56.8,17,2.2941176470588234
335998,P Kumar,6,7.800000000000001,5,1.0
335998,R Bhatia,8,12.8,5,2.0
335998,R Dravid,38,49.400000000000006,30,1.0333333333333334
335998,S Dhawan,50,50.0,33,0.0
335998,Shoaib Malik,6,7.8,4,1.0
335998,V Kohli,1,2.0,1,3.0
335998,V Sehwag,24,24.0,12,0.0
335998,W Jaffer,10,13.000000000000002,9,1.0
335999,AC Gilchrist,6,6.0,6,0.0
335999,D Kalyankrishna,3,4.800000000000001,8,2.0
335999,DNT Zoysa,1,1.3,2,1.5
335999,DPMD Jayawardene,45,48.9,23,0.4
335999,HH Gibbs,7,7.0,9,0.0
335999,KC Sangakkara,3,3.0,4,0.25
335999,RG Sharma,76,108.10000000000001,42,1.0476190476190477
335999,RP Singh,2,3.2,2,2.0
335999,RR Sarwan,15,15.0,15,0.0
335999,SB Bangar,3,3.9000000000000004,8,1.0
335999,SE Marsh,84,92.7,62,0.3492063492063492
335999,Shahid Afridi,13,13.0,7,0.0
335999,VVS Laxman,48,48.0,34,0.0
335999,Y Venugopal Rao,1,1.0,2,0.5
335999,Yuvraj Singh,14,15.5,9,0.4
336000,AB Agarkar,20,26.000000000000004,13,1.0
336000,AB Dinda,1,2.0,3,3.0
336000,BJ Hodge,1,1.3,3,1.0
336000,DB Das,11,20.4,13,2.6923076923076925
336000,DJ Hussey,42,61.5,30,1.53125
336000,GC Smith,2,2.0,7,0.0
336000,I Sharma,1,2.0,1,3.0
336000,LR Shukla,2,2.9000000000000004,2,1.5
336000,M Kaif,21,21.0,18,0.0
336000,M Rawat,1,1.6,1,2.0
336000,RA Jadeja,33,38.4,19,0.55
336000,SA Asnodkar,60,60.0,34,0.0
336000,SC Ganguly,51,66.3,39,1.0
336000,SK Warne,7,11.200000000000001,8,2.0
336000,SR Watson,0,0.0,1,0.0
336000,Salman Butt,7,9.100000000000001,7,1.0
336000,Sohail Tanvir,3,4.800000000000001,3,2.0
336000,Umar Gul,2,4.0,2,3.0
336000,WP Saha,1,2.0,2,3.0
336000,YK Pathan,55,64.3,33,0.5454545454545454
336001,AB de Villiers,26,29.3,21,0.45454545454545453
336001,G Gambhir,50,50.0,37,0.0
336001,JA Morkel,28,39.1,16,1.3125
336001,MS Dhoni,32,33.2,27,0.25
336001,PA Patel,21,21.0,20,0.0
336001,S Badrinath,11,17.6,5,2.0
336001,S Dhawan,19,24.4,17,0.8823529411764706
336001,S Vidyut,54,54.0,37,0.0
336001,SK Raina,3,3.9000000000000004,4,1.0
336001,SP Fleming,13,13.0,13,0.0
336001,V Sehwag,71,71.0,41,0.0
336002,AC Gilchrist,46,46.0,37,0.0
336002,AS Yadav,8,12.8,8,2.0
336002,B Akhil,27,43.2,7,2.0
336002,CL White,31,45.5,23,1.391304347826087
336002,DB Ravi Teja,7,9.1,7,1.1428571428571428
336002,HH Gibbs,47,47.0,34,0.0
336002,JH Kallis,31,31.3,25,0.12
336002,LPC Silva,0,0.0,2,0.0
336002,Misbah-ul-Haq,34,42.1,28,0.6071428571428571
336002,R Dravid,31,43.900000000000006,21,1.1904761904761905
336002,RG Sharma,17,17.0,16,0.0
336002,RP Singh,1,1.6,3,2.0
336002,V Kohli,9,13.200000000000001,5,2.0
336002,W Jaffer,5,5.0,5,0.0
336002,WPUJC Vaas,0,0.0,3,2.0
336002,Y Venugopal Rao,26,34.400000000000006,12,1.0
336003,AB Agarkar,1,2.0,2,3.0
336003,BJ Hodge,1,1.3,3,1.0
336003,DB Das,5,6.5,8,1.0
336003,DJ Hussey,71,122.5,46,1.8936170212765957
336003,DPMD Jayawardene,10,10.0,6,0.0
336003,IK Pathan,24,36.300000000000004,26,1.4285714285714286
336003,JR Hopes,18,18.0,12,0.0
336003,K Goel,6,6.0,7,0.14285714285714285
336003,KC Sangakkara,28,38.2,21,0.8695652173913043
336003,LR Shukla,7,9.1,10,1.1
336003,Mohammad Hafeez,13,14.8,12,0.6666666666666666
336003,PP Chawla,21,33.6,7,2.0
336003,SC Ganguly,5,5.3,7,0.375
336003,SE Marsh,40,40.0,32,0.0
336003,WP Saha,59,108.0,32,2.4375
336003,Yuvraj Singh,17,17.0,10,0.0
336004,AB de Villiers,21,24.9,17,0.7058823529411765
336004,AM Nayar,2,2.0,6,0.16666666666666666
336004,DJ Bravo,2,2.0,4,0.5
336004,DJ Thornely,30,30.0,24,0.0
336004,G Gambhir,1,1.0,9,0.0
336004,GD McGrath,0,0.0,2,3.0
336004,KD Karthik,28,35.0,23,1.0869565217391304
336004,Mohammad Asif,0,0.0,1,3.0
336004,PJ Sangwan,2,4.0,4,3.0
336004,R Bhatia,9,17.6,8,2.875
336004,RR Raje,6,9.6,5,2.0
336004,RV Uthappa,22,22.0,21,0.0
336004,S Dhawan,1,1.0,3,0.3333333333333333
336004,SM Pollock,33,52.800000000000004,15,1.9411764705882353
336004,SS Tiwary,9,14.4,10,2.0
336004,ST Jayasuriya,34,34.0,16,0.0
336004,Shoaib Malik,24,27.3,22,0.5454545454545454
336004,V Sehwag,40,42.7,20,0.4
336004,VY Mahesh,3,6.0,5,3.0
336004,YV Takawale,14,14.0,20,0.0
336005,GC Smith,35,35.0,44,0.0
336005,JA Morkel,42,56.1,33,1.1818181818181819
336005,Joginder Sharma,0,0.0,1,1.0
336005,M Muralitharan,0,0.0,3,2.0
336005,M Ntini,11,17.6,12,2.0
336005,MS Dhoni,1,1.0,7,0.14285714285714285
336005,MS Gony,1,1.6,4,1.75
336005,PA Patel,0,0.0,1,0.0
336005,S Badrinath,15,15.0,14,0.0
336005,S Vidyut,5,5.0,10,0.0
336005,SA Asnodkar,32,32.0,30,0.0
336005,SK Raina,27,30.0,27,0.5185185185185185
336005,SP Fleming,0,0.0,2,0.0
336005,SR Watson,14,14.0,8,0.0
336005,YK Pathan,8,8.0,5,0.0
336006,A Kumble,3,4.800000000000001,7,2.0
336006,CL White,0,0.0,1,0.0
336006,DPMD Jayawardene,17,17.6,22,0.30434782608695654
336006,DT Patil,4,6.4,1,2.0
336006,DW Steyn,1,1.6,3,2.0
336006,IK Pathan,17,21.200000000000003,17,0.7777777777777778
336006,JH Kallis,0,0.0,3,0.0
336006,JR Hopes,5,5.0,4,0.0
336006,Misbah-ul-Haq,8,8.0,7,0.375
336006,P Kumar,0,0.0,2,2.0
336006,R Dravid,66,78.3,51,0.37254901960784315
336006,RR Sarwan,31,31.0,29,0.0
336006,SE Marsh,39,39.0,34,0.0
336006,V Kohli,34,34.0,36,0.0
336006,W Jaffer,0,0.0,4,0.0
336006,Yuvraj Singh,1,1.0,4,0.0
336006,Z Khan,0,0.0,1,2.0
336007,AC Gilchrist,54,54.0,36,0.0
336007,HH Gibbs,10,10.0,10,0.0
336007,JA Morkel,29,45.5,19,1.7894736842105263
336007,Joginder Sharma,16,25.6,10,1.9
336007,MS Dhoni,23,23.3,31,0.125
336007,MS Gony,15,24.000000000000004,6,2.0
336007,PA Patel,4,4.0,6,0.0
336007,RG Sharma,23,23.6,17,0.23529411764705882
336007,S Anirudha,1,1.0,7,0.0
336007,S Badrinath,0,0.0,4,0.0
336007,SB Styris,36,39.0,41,0.21428571428571427
336007,SK Raina,32,32.0,21,0.047619047619047616
336007,SP Fleming,14,14.0,16,0.0
336007,Shahid Afridi,20,26.0,6,1.0
336008,AM Nayar,12,12.0,13,0.0
336008,DJ Bravo,1,1.0,5,0.0
336008,GC Smith,5,5.0,9,0.0
336008,M Kaif,4,4.0,7,0.0
336008,M Rawat,1,1.3,5,1.6
336008,MM Patel,0,0.0,1,2.0
336008,RA Jadeja,0,0.0,1,1.0
336008,RV Uthappa,34,34.0,21,0.125
336008,SA Asnodkar,39,40.5,36,0.23684210526315788
336008,SK Trivedi,1,1.6,3,2.0
336008,SK Warne,7,9.1,7,1.0
336008,SR Watson,32,32.0,20,0.0
336008,ST Jayasuriya,18,18.0,20,0.0
336008,Sohail Tanvir,6,7.8,6,1.1666666666666667
336008,YK Pathan,1,1.0,3,0.0
336008,YV Takawale,27,27.0,32,0.0
336009,AB de Villiers,0,0.0,1,0.0
336009,CK Kapugedera,8,12.200000000000001,9,1.8888888888888888
336009,G Gambhir,80,83.6,49,0.13725490196078433
336009,JA Morkel,30,35.7,15,0.6666666666666666
336009,KD Karthik,6,9.6,3,2.0
336009,MK Tiwary,5,8.0,2,2.0
336009,MS Dhoni,33,45.0,33,1.1515151515151516
336009,MS Gony,13,24.0,5,2.6666666666666665
336009,S Badrinath,8,14.8,5,2.4
336009,S Dhawan,59,67.4,46,0.3125
336009,S Vidyut,40,52.0,23,1.0
336009,SK Raina,1,1.0,2,0.5
336009,SP Fleming,44,51.5,28,0.6333333333333333
336009,Shoaib Malik,2,2.6,3,1.3333333333333333
336009,V Sehwag,23,23.0,18,0.0
336010,A Chopra,2,2.0,5,0.0
336010,BJ Hodge,10,10.0,11,0.0
336010,CL White,30,30.0,16,0.0
336010,DJ Hussey,26,26.0,12,0.0
336010,J Arunkumar,22,22.0,17,0.0
336010,LR Shukla,11,13.4,9,0.3333333333333333
336010,M Kartik,17,22.1,13,1.0769230769230769
336010,MV Boucher,50,52.7,40,0.125
336010,P Kumar,4,5.2,2,0.5
